service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
46798,1,1,1,1,1,0,0,20240708,20240913
46545,0,1,1,1,1,0,0,20240708,20240913
39921,0,0,0,0,0,0,0,20240708,20240911
39073,0,1,1,1,1,0,0,20240708,20240903
38491,1,1,1,1,1,0,0,20240708,20240830
36087,0,1,1,1,0,0,0,20240708,20240912
17153,1,1,1,1,1,0,0,20240708,20240802
10458,0,0,0,0,1,0,0,20240712,20240913
8619,0,0,0,0,0,0,1,20240714,20240908
8366,0,0,0,0,0,0,1,20240714,20240908
8054,1,1,1,1,1,0,0,20240903,20240913
7472,1,1,1,1,1,0,0,20240904,20240913
6624,1,1,0,1,1,0,0,20240903,20240913
4361,0,0,0,0,0,1,0,20240713,20240907
1430,0,0,1,0,0,0,0,20240911,20240911
253,1,0,0,0,0,0,0,20240902,20240902
